conduites;origine;destination;débit min qLO (m3/s);débit max qUP (m3/s);variation débit baisse DLO (m3/s/h);variation débit hausse DUP (m3/s/h);temps de transfert dt (h)
Res8_Res9;Res8;Res9;;;4;4;;
Pompe1_Res1;Pompe1;Res1;;;;;;
Pompe2_Res2;Pompe2;Res2;;;;;;
Res1_Res4;Res1;Res4;0.06;0.06;;;1;
Res1_Turb1;Res1;Turb1;;;;;;
Res1_Turb2;Res1;Turb2;;;;;;
Res2_Res4;Res2;Res4;0.08;0.08;;;;
Res2_Turb3;Res2;Turb3;;;;;;
Res3_Res4;Res3;Res4;0.03;0.03;;;;
Res3_Turb4;Res3;Turb4;;;;;;
Res4_Pompe2;Res4;Pompe2;;;;;;
Res4_Res7;Res4;Res7;;;;;4;
Res4_Turb6;Res4;Turb6;;;17;19.8;2;
Res5_Res4;Res5;Res4;0.06;;;;;
Res6_Pompe1;Res6;Pompe1;;;;;;
Res6_Res4;Res6;Res4;;;;;;
Res7_Res8;Res7;Res8;0.5;;;;;
Res7_Turb8;Res7;Turb8;;;;;;
Turb1_Res4;Turb1;Res4;;;;;;
Turb2_Res2;Turb2;Res2;;;;;;
Turb3_Res4;Turb3;Res4;;;;;;
Turb4_Res4;Turb4;Res4;;;;;;
Turb6_Turb7;Turb6;Turb7;;;;;;
Turb7_Res7;Turb7;Res7;;;;;1;
Turb8_Res8;Turb8;Res8;;;;;;
Res5_Turb5;Res5;Turb5;;;;;;
Turb5_Res4;Turb5;Res4;;;;;;
